txn_id,reference_id,amount,date,narration
BTXN6484670448,RZP7165644927,18454.64,2026-07-09,ATM WDL MUM
BTXN4378851841,RZP1457007494,73527.69,2026-07-05,UPI-RAZORPAY SOFTWARE PVT LTD-RZP1457007494
BTXN1445307551,RZP6982100019,36868.57,2026-07-15,UPI-RAZORPAY SOFTWARE PVT LTD-RZP6982100019
BTXN2021826413,RZP1653195208,13379.18,2026-07-07,NEFT CR-RZP1653195208-RAZORPAY
BTXN5041432508,RZP4540670950,64554.69,2026-07-07,IMPS/RZP4540670950/RAZORPAY SETTLEMENT
BTXN3962958940,RZP3361388464,20246.72,2026-07-14,RTGS-RZP3361388464-RAZORPAY SOFTWARE PVT LTD
BTXN8898220255,RZP9346200266,74688.96,2026-07-15,UPI-RAZORPAY SOFTWARE PVT LTD-RZP9346200266
BTXN5661406842,RZP4083359279,36233.85,2026-07-04,NEFT CR-RZP4083359279-RAZORPAY
BTXN8121542600,RZP9899181553,5553.74,2026-07-01,SALARY CREDIT XYZ CORP
BTXN2199647326,RZP7528488791,56012.57,2026-07-07,IMPS/RZP7528488791/RAZORPAY SETTLEMENT
BTXN6199619408,RZP6416428607,3196.95,2026-07-09,AMAZON RETAIL PAYMENT
BTXN3175171684,RZP5355819840,58869.05,2026-07-04,NEFT CR-RZP5355819840-RAZORPAY
BTXN7072831298,RZP9268900492,19813.59,2026-07-12,UPI-RAZORPAY SOFTWARE PVT LTD-RZP9268900492
BTXN2278871288,RZP1433610715,17815.61,2026-07-05,RTGS-RZP1433610715-RAZORPAY SOFTWARE PVT LTD
BTXN6029149881,RZP4850286941,51655.83,2026-07-07,IMPS/RZP4850286941/RAZORPAY SETTLEMENT
BTXN6723948964,rzp3837920391,62525.51,2026-07-14,UPI-RAZORPAY SETTLEMENT ORDER 920391
BTXN7862208955,RZP9600159369,16374.16,2026-07-12,RTGS-RZP9600159369-RAZORPAY SOFTWARE PVT LTD
BTXN7541221312,RZP4406671024,69416.93,2026-07-04,UPI-RAZORPAY SOFTWARE PVT LTD-RZP4406671024
BTXN4347671032,RZP6774070696,60272.65,2026-07-17,NEFT CR-RZP6774070696-RAZORPAY
BTXN9568340502,RZP6238826819,63655.86,2026-07-11,UPI-RAZORPAY SOFTWARE PVT LTD-RZP6238826819
BTXN1865905708,rzp9923046290,43138.95,2026-07-16,NEFT CR RAZORPAY SOFTWARE-046290
BTXN2099984058,RZP2883930,12612.77,2026-07-17,NEFT CR RAZORPAY SOFTWARE-930834
BTXN1721014900,RZP8769871013,33032.08,2026-07-14,RTGS-RZP8769871013-RAZORPAY SOFTWARE PVT LTD
BTXN9404617083,RZP2442185306,7815.50,2026-07-13,UPI-RAZORPAY SOFTWARE PVT LTD-RZP2442185306
BTXN4603533925,RZP5357997565,33879.89,2026-07-05,IMPS/RZP5357997565/RAZORPAY SETTLEMENT
BTXN3937071068,RZP9176334029,64800.62,2026-07-13,NEFT CR-RZP9176334029-RAZORPAY
BTXN8938320655,RZP5990663505,5560.32,2026-07-06,UPI-RAZORPAY SOFTWARE PVT LTD-RZP5990663505
BTXN3889342223,RZP2875473394,53277.13,2026-07-03,UPI-RAZORPAY SOFTWARE PVT LTD-RZP2875473394
BTXN2109313306,RZP9356479680,55811.84,2026-07-05,RTGS-RZP9356479680-RAZORPAY SOFTWARE PVT LTD
BTXN2170119300,RZP1184114563,5503.12,2026-07-10,RTGS-RZP1184114563-RAZORPAY SOFTWARE PVT LTD
BTXN5266055690,RZP1892808201,31664.71,2026-07-17,RTGS-RZP1892808201-RAZORPAY SOFTWARE PVT LTD
BTXN6885839082,RZP5866279055,6495.87,2026-07-12,ATM WDL MUM
BTXN8604527032,RZP4720894580,12385.18,2026-07-10,AMAZON RETAIL PAYMENT
BTXN6748008932,RZP9862731708,53596.67,2026-07-07,UPI-RAZORPAY SOFTWARE PVT LTD-RZP9862731708
BTXN6653189597,RZP1742914412,1813.42,2026-07-02,ATM WDL BLR
BTXN3384031495,rzp6427539932,50097.18,2026-07-20,NEFT CR RAZORPAY SOFTWARE-539932
BTXN9938064634,RZP7657001531,62006.32,2026-07-09,NEFT CR-RZP7657001531-RAZORPAY
