settlement_id,reference_id,amount,date,status
STL97080257,RZP1145804835,13776.57,2026-07-01,settled
STL91114757,RZP8428017178,56272.54,2026-07-11,settled
STL39843354,RZP3307329307,50732.76,2026-07-03,settled
STL18283177,RZP7471862847,33106.25,2026-07-01,settled
STL29544638,RZP2350417425,24241.99,2026-07-13,settled
STL48208680,RZP2129491690,31956.83,2026-07-04,settled
STL72639578,RZP6611046762,6095.06,2026-07-15,settled
STL57216333,RZP2880993200,67337.43,2026-07-15,settled
STL36245873,RZP6988322197,63682.90,2026-07-12,settled
STL98023025,RZP8724482271,55283.72,2026-07-09,settled
STL17972544,RZP9239946758,59269.64,2026-07-07,pending
STL89404142,RZP6817921678,62390.94,2026-07-08,settled
STL56900948,RZP9037591675,10724.97,2026-07-08,settled
STL92046710,RZP4434669423,38117.28,2026-07-15,settled
STL95545512,RZP9880035879,59311.52,2026-07-04,settled
STL55987219,RZP3890561281,13010.01,2026-07-15,settled
STL63609010,RZP4751060216,59225.77,2026-07-07,settled
STL80332126,RZP7250289619,22551.67,2026-07-10,settled
STL68061607,RZP7532442605,1877.88,2026-07-05,settled
STL55911599,RZP8658452494,34391.50,2026-07-14,settled
STL69168024,RZP8672055970,1298.94,2026-07-12,settled
STL57868637,RZP5501335775,7444.21,2026-07-05,settled
STL74954396,RZP2082610955,45308.25,2026-07-01,settled
STL17172677,RZP6956450116,61214.12,2026-07-15,settled
STL49192870,RZP4529010746,67555.00,2026-07-05,pending
STL20229583,RZP9612003275,62852.08,2026-07-07,settled
STL54313350,RZP1439470206,59867.89,2026-07-10,settled
STL10243970,RZP3086859502,9529.00,2026-07-04,settled
STL73272089,RZP2947752636,63090.94,2026-07-14,reversed
STL85663810,RZP1139014305,20553.02,2026-07-10,settled
STL73519947,RZP3971203213,23312.35,2026-07-10,settled
STL29210003,RZP1534029676,16466.31,2026-07-02,settled
STL22087318,RZP9710376747,19399.60,2026-07-08,settled
STL58155323,RZP1160675121,22320.21,2026-07-07,settled
STL58607028,RZP2881937953,9904.14,2026-07-04,settled
STL55183971,RZP1832516419,12518.00,2026-07-14,settled
STL71738199,RZP4052666261,30913.47,2026-07-02,settled
STL25810542,RZP4382751858,37587.54,2026-07-03,settled
STL80965245,RZP1394857626,54945.45,2026-07-13,reversed
STL57437651,RZP9496050936,31505.97,2026-07-02,settled
STL21087928,RZP8267378816,27867.35,2026-07-13,settled
STL74944298,RZP3038247464,6027.40,2026-07-07,settled
STL43026667,RZP9845703273,26885.45,2026-07-01,settled
STL85210959,RZP2326246617,30969.74,2026-07-03,settled
STL73241333,RZP4551266859,36111.04,2026-07-11,settled
STL20869023,RZP9918744233,50246.12,2026-07-08,settled
STL62835646,RZP3317683108,51232.46,2026-07-10,settled
STL91177526,RZP7586993884,34333.38,2026-07-13,settled
STL35505429,RZP7564269975,11240.51,2026-07-12,settled
STL27580033,RZP7976167764,70683.45,2026-07-12,settled
STL97322640,RZP1896511281,58516.10,2026-07-09,settled
STL68046813,RZP7070997574,31203.93,2026-07-05,settled
STL33008094,RZP9426460165,48105.75,2026-07-05,settled
STL57665466,RZP1001237473,10172.72,2026-07-04,settled
STL91456987,RZP5943011485,23986.96,2026-07-11,settled
STL99517091,RZP7830245654,20588.26,2026-07-13,settled
STL38225447,RZP5389271768,5981.41,2026-07-11,settled
STL44421014,RZP4169790997,16776.05,2026-07-02,settled
STL14535123,RZP1297394609,914.94,2026-07-06,settled
STL26020678,RZP6572703364,51103.57,2026-07-10,settled
STL54605939,RZP8403360017,7065.02,2026-07-04,settled
STL17158121,RZP6733365481,11054.79,2026-07-02,settled
STL52388162,RZP1696794102,57933.00,2026-07-09,settled
STL64490879,RZP9123511358,3668.10,2026-07-13,settled
STL77778568,RZP8340087066,53161.04,2026-07-15,settled
STL79220859,RZP8242423165,9811.43,2026-07-01,settled
STL53508227,RZP4224262568,33222.80,2026-07-13,settled
STL49696365,RZP3636167678,48191.01,2026-07-14,settled
STL69711873,RZP1987685194,54212.81,2026-07-02,settled
STL76173334,RZP3409442265,16382.45,2026-07-14,settled
STL49707978,RZP9881351890,13075.30,2026-07-08,settled
STL92695724,RZP4605761370,74890.94,2026-07-08,settled
