txn_id,reference_id,amount,date,narration
BTXN4090456905,RZP7638970971,12052.21,2026-07-09,UPI-RAZORPAY SOFTWARE PVT LTD-RZP7638970971
BTXN5691145512,RZP6491417851,28516.42,2026-07-14,RTGS-RZP6491417851-RAZORPAY SOFTWARE PVT LTD
BTXN4528828126,RZP1314597900,13760.42,2026-07-05,UPI-RAZORPAY SOFTWARE PVT LTD-RZP1314597900
BTXN8458467240,RZP1048567099,9958.35,2026-07-13,RTGS-RZP1048567099-RAZORPAY SOFTWARE PVT LTD
BTXN2714965285,RZP2655137747,30396.30,2026-07-01,IMPS/RZP2655137747/RAZORPAY SETTLEMENT
BTXN5462774644,RZP6693980037,30146.88,2026-07-07,IMPS/RZP6693980037/RAZORPAY SETTLEMENT
BTXN9232015048,RZP5975477610,17707.23,2026-07-12,NEFT CR-RZP5975477610-RAZORPAY
BTXN7325721923,RZP5585931958,32372.64,2026-07-11,NEFT CR-RZP5585931958-RAZORPAY
BTXN9527364106,RZP5738557978,49603.76,2026-07-04,RTGS-RZP5738557978-RAZORPAY SOFTWARE PVT LTD
BTXN5086982564,RZP1818440615,67936.68,2026-07-08,IMPS/RZP1818440615/RAZORPAY SETTLEMENT
BTXN6744739311,RZP4644958316,659.78,2026-07-05,RTGS-RZP4644958316-RAZORPAY SOFTWARE PVT LTD
BTXN4470864519,RZP5592764774,1402.72,2026-07-11,NEFT CR-RZP5592764774-RAZORPAY
BTXN6387133174,RZP3438830691,30180.94,2026-07-12,NEFT CR-RZP3438830691-RAZORPAY
BTXN4963756929,RZP8023357726,73180.76,2026-07-04,RTGS-RZP8023357726-RAZORPAY SOFTWARE PVT LTD
BTXN2852934216,RZP1716275768,31687.61,2026-07-13,RTGS-RZP1716275768-RAZORPAY SOFTWARE PVT LTD
BTXN2143625802,RZP9984650935,53601.37,2026-07-07,NEFT CR-RZP9984650935-RAZORPAY
BTXN4164809357,RZP9856660350,33576.46,2026-07-15,UPI-RAZORPAY SETTLEMENT ORDER 660350
